scope,Antibiotic,rank,feature,feature_base,feature_type,importance
all,ceftiofur,16,fosa7_2_identity,fosa7_2,identity,0.003831189125776291
all,ceftiofur,17,gyra_d87y_identity,gyra_d87y,identity,0.0037907103542238474
all,ceftiofur,18,aph_4_ia_coverage,aph_4_ia,coverage,0.0035938224755227566
all,ceftiofur,19,qnrb19_coverage,qnrb19,coverage,0.0035826596431434155
all,ceftiofur,20,aada2_identity,aada2,identity,0.003459845669567585
all,ceftriaxone,1,blacmy_2_coverage,blacmy_2,coverage,0.179985910654068
all,ceftriaxone,2,blacmy_2_identity,blacmy_2,identity,0.16133840382099152
all,ceftriaxone,3,blactx_m_65_identity,blactx_m_65,identity,0.16021928191184998
all,ceftriaxone,4,blactx_m_65_coverage,blactx_m_65,coverage,0.15855945646762848
all,ceftriaxone,5,gyra_d87y_identity,gyra_d87y,identity,0.046384505927562714
all,ceftriaxone,6,blactx_m_15_identity,blactx_m_15,identity,0.026921000331640244
all,ceftriaxone,7,blashv_12_identity,blashv_12,identity,0.015340798534452915
all,ceftriaxone,8,blactx_m_15_coverage,blactx_m_15,coverage,0.015323961153626442
all,ceftriaxone,9,dfra19_coverage,dfra19,coverage,0.014136160723865032
all,ceftriaxone,10,cata1_coverage,cata1,coverage,0.013359184376895428
all,ceftriaxone,11,blacmy_identity,blacmy,identity,0.012748433277010918
all,ceftriaxone,12,blacmy_coverage,blacmy,coverage,0.011747235432267189
all,ceftriaxone,13,sul2_coverage,sul2,coverage,0.010824468918144703
all,ceftriaxone,14,blashv_12_coverage,blashv_12,coverage,0.010763553902506828
all,ceftriaxone,15,blactx_m_1_identity,blactx_m_1,identity,0.010153207927942276
all,ceftriaxone,16,parc_s80i_identity,parc_s80i,identity,0.009653412736952305
all,ceftriaxone,17,gyra_s83y_identity,gyra_s83y,identity,0.0077955820597708225
all,ceftriaxone,18,fosa7_8_coverage,fosa7_8,coverage,0.007588517386466265
all,ceftriaxone,19,aac_6_ib3_identity,aac_6_ib3,identity,0.007182764820754528
all,ceftriaxone,20,blactx_m_1_coverage,blactx_m_1,coverage,0.007074207998812199
all,chloramphenicol,1,flor_lineage_match,flor,lineage_match,0.4277830123901367
all,chloramphenicol,2,flor_coverage,flor,coverage,0.22992679476737976
all,chloramphenicol,3,flor_identity,flor,identity,0.11691803485155106
all,chloramphenicol,4,cmla1_lineage_match,cmla1,lineage_match,0.02093135379254818
all,chloramphenicol,5,cmla1_coverage,cmla1,coverage,0.012585972435772419
all,chloramphenicol,6,cata1_coverage,cata1,coverage,0.011681370437145233
all,chloramphenicol,7,aac_3_iva_coverage,aac_3_iva,coverage,0.011359073221683502
all,chloramphenicol,8,aada2_identity,aada2,identity,0.010977827943861485
all,chloramphenicol,9,aph_4_ia_coverage,aph_4_ia,coverage,0.010137188248336315
all,chloramphenicol,10,cata2_coverage,cata2,coverage,0.009519792161881924
all,chloramphenicol,11,cata2_identity,cata2,identity,0.008884965442121029
all,chloramphenicol,12,aada2_coverage,aada2,coverage,0.00879921019077301
all,chloramphenicol,13,blactx_m_15_identity,blactx_m_15,identity,0.007884299382567406
all,chloramphenicol,14,blacarb_2_coverage,blacarb_2,coverage,0.006571284960955381
all,chloramphenicol,15,cmla5_identity,cmla5,identity,0.006474544759839773
all,chloramphenicol,16,blactx_m_15_coverage,blactx_m_15,coverage,0.006472971756011248
all,chloramphenicol,17,cmla5_coverage,cmla5,coverage,0.005448838695883751
all,chloramphenicol,18,ant_2_ia_coverage,ant_2_ia,coverage,0.005431561265140772
all,chloramphenicol,19,sul2_coverage,sul2,coverage,0.00473850267007947
all,chloramphenicol,20,aac_3_iig_coverage,aac_3_iig,coverage,0.0041600484400987625
all,ciprofloxacin,1,gyra_d87y_lineage_match,gyra_d87y,lineage_match,0.36867454648017883
all,ciprofloxacin,2,gyra_d87y_identity,gyra_d87y,identity,0.23894906044006348
all,ciprofloxacin,3,gyra_d87y_coverage,gyra_d87y,coverage,0.18171660602092743
all,ciprofloxacin,4,qnrs2_lineage_match,qnrs2,lineage_match,0.018781691789627075
all,ciprofloxacin,5,sul3_identity,sul3,identity,0.014698689803481102
all,ciprofloxacin,6,qnrb19_identity,qnrb19,identity,0.014583904296159744
all,ciprofloxacin,7,aac_3_via_coverage,aac_3_via,coverage,0.010771793313324451
all,ciprofloxacin,8,qnrb19_coverage,qnrb19,coverage,0.01042782049626112
all,ciprofloxacin,9,gyra_s83y_lineage_match,gyra_s83y,lineage_match,0.009820571169257164
all,ciprofloxacin,10,qnrb19_lineage_match,qnrb19,lineage_match,0.009629450738430023
all,ciprofloxacin,11,gyra_s83f_coverage,gyra_s83f,coverage,0.00930276233702898
all,ciprofloxacin,12,qnrs2_coverage,qnrs2,coverage,0.00894369836896658
all,ciprofloxacin,13,gyra_s83y_identity,gyra_s83y,identity,0.008282925933599472
all,ciprofloxacin,14,qnrs2_identity,qnrs2,identity,0.00811668299138546
all,ciprofloxacin,15,gyra_s83y_coverage,gyra_s83y,coverage,0.00769087765365839
all,ciprofloxacin,16,gyra_s83f_identity,gyra_s83f,identity,0.007683310657739639
all,ciprofloxacin,17,aac_6_ib_cr5_coverage,aac_6_ib_cr5,coverage,0.006019296124577522
all,ciprofloxacin,18,sul3_coverage,sul3,coverage,0.005995896179229021
all,ciprofloxacin,19,aac_3_iie_coverage,aac_3_iie,coverage,0.005694061983376741
all,ciprofloxacin,20,blactx_m_15_coverage,blactx_m_15,coverage,0.005636597517877817
all,gentamicin,1,aada1_identity,aada1,identity,0.40037304162979126
all,gentamicin,2,ant_2_ia_coverage,ant_2_ia,coverage,0.05417640879750252
all,gentamicin,3,ant_2_ia_identity,ant_2_ia,identity,0.05257316306233406
all,gentamicin,4,aada1_coverage,aada1,coverage,0.04981417581439018
all,gentamicin,5,grda_coverage,grda,coverage,0.03262529894709587
all,gentamicin,6,aac_3_iva_coverage,aac_3_iva,coverage,0.027260998263955116
all,gentamicin,7,grda_identity,grda,identity,0.02417180873453617
all,gentamicin,8,sul1_coverage,sul1,coverage,0.020855914801359177
all,gentamicin,9,aac_3_iid_coverage,aac_3_iid,coverage,0.019555674865841866
