scope,Antibiotic,n_samples,n_susceptible,n_resistant,n_positive,n_negative,positive_label,positive_fraction,feature_count,zero_feature_rows,roc_auc,average_precision,accuracy,precision,recall,mean_fold_roc_auc,status
strict,ciprofloxacin,6550,5951,599,599,5951,resistant,0.09145038167938932,39,5932,0.997118089326607,0.9925142433407699,0.9974045801526717,0.9801980198019802,0.991652754590985,0.9981959831791659,trained
strict,chloramphenicol,6730,6146,584,584,6146,resistant,0.08677563150074294,33,6147,0.9927283142170651,0.983968760830695,0.9980683506686479,0.9930915371329879,0.9845890410958904,0.9938336548168658,trained
strict,trimethoprim-sulfamethoxazole,6808,6494,314,314,6494,resistant,0.046122209165687426,45,3952,0.991754269987583,0.9573007553808354,0.9970622796709753,0.9681528662420382,0.9681528662420382,0.9930663810758311,trained
strict,tetracycline,6780,1941,4839,4839,1941,resistant,0.713716814159292,21,1924,0.9874775073172752,0.9917003797984842,0.9904129793510325,0.9933856965688301,0.9931804091754495,0.9888027920010269,trained
strict,nalidixic acid,6789,5974,815,815,5974,resistant,0.12004713507143909,60,5943,0.9873528644576395,0.9811229451064425,0.9935189276771248,0.966142684401451,0.9803680981595092,0.9905947411244,trained
strict,sulfisoxazole,6558,3845,2713,2713,3845,resistant,0.4136931991460811,9,3844,0.9847328544306012,0.9740498292162959,0.9876486733760292,0.9856088560885609,0.9845189826760045,0.9864885187084059,trained
strict,gentamicin,6459,5575,884,884,5575,resistant,0.13686329153119678,48,5480,0.9779941359089341,0.9354122628726274,0.9803375135469887,0.8980021030494216,0.9660633484162896,0.9803408572692034,trained
strict,streptomycin,6050,2850,3200,3200,2850,resistant,0.5289256198347108,45,2516,0.9584208881578948,0.9497516496069809,0.9419834710743802,0.9218241042345277,0.9728125,0.9605627741228069,trained
strict,kanamycin,2772,2304,468,468,2304,resistant,0.16883116883116883,9,2341,0.9430166970857073,0.9121032098415061,0.9787157287157288,0.9766899766899767,0.8952991452991453,0.9474018975606222,trained
strict,ampicillin,6810,4370,2440,2440,4370,resistant,0.35829662261380324,36,5457,0.7614985744832501,0.7417901117022394,0.8305433186490455,0.9784226190476191,0.5389344262295082,0.7668534531267585,trained
strict,ceftiofur,3562,2854,708,708,2854,resistant,0.19876473891072433,21,2640,0.5820664029867882,0.2393880305173214,0.4051094890510949,0.2350732256853173,0.884180790960452,0.591114236272076,trained
strict,ceftriaxone,6807,5594,1213,1213,5594,resistant,0.17819891288379608,33,5458,0.5614972584275756,0.20474482703539704,0.33979726751873074,0.20112953179085444,0.9101401483924155,0.5673155317000612,trained
strict,cefoxitin,6715,5917,798,798,5917,resistant,0.11883842144452718,33,5382,0.5500728964544198,0.13964920871875167,0.28696947133283696,0.1315108976727004,0.8922305764411027,0.555804725411946,trained
strict,amoxicillin-clavulanic acid,6159,5262,897,897,5262,resistant,0.14564052605942523,24,5439,0.508624656621781,0.16359760689661118,0.784218217243059,0.18513119533527697,0.1415830546265329,0.5179781443661807,trained
